未麻的部屋,1997,9.1,301264人评价
傲慢与偏见,2005,8.7,743229人评价
神偷奶爸,2010,8.6,897274人评价
大鱼,2003,8.8,538852人评价
告白,2010,8.8,641008人评价
釜山行,2016,8.6,1123701人评价
被解救的姜戈,2012,8.8,571383人评价
哈利·波特与火焰杯,2005,8.7,599949人评价
阳光姐妹淘,2011,8.8,567242人评价
射雕英雄传之东成西就,1993,8.7,597594人评价
哪吒闹海,1979,9.1,241108人评价
新世界,2013,8.9,385107人评价
我是山姆,2001,9.0,316914人评价
恐怖直播,2013,8.7,614353人评价
头号玩家,2018,8.7,1288684人评价
血战钢锯岭,2016,8.7,743895人评价
模仿游戏,2014,8.8,605525人评价
喜宴,1993,9.0,332108人评价
七武士,1954,9.3,183985人评价
告白,2010,8.8,641008人评价
釜山行,2016,8.6,1123701人评价
被解救的姜戈,2012,8.8,571383人评价
哈利·波特与火焰杯,2005,8.7,599949人评价
阳光姐妹淘,2011,8.8,567242人评价
射雕英雄传之东成西就,1993,8.7,597594人评价
哪吒闹海,1979,9.1,241108人评价
新世界,2013,8.9,385107人评价
我是山姆,2001,9.0,316914人评价
恐怖直播,2013,8.7,614353人评价
头号玩家,2018,8.7,1288684人评价
血战钢锯岭,2016,8.7,743895人评价
模仿游戏,2014,8.8,605525人评价
喜宴,1993,9.0,332108人评价
七武士,1954,9.3,183985人评价
花样年华,2000,8.7,560850人评价
头脑特工队,2015,8.8,569300人评价
黑客帝国3：矩阵革命,2003,8.8,422317人评价
九品芝麻官,1994,8.7,618756人评价
电锯惊魂,2004,8.8,496693人评价
三块广告牌,2017,8.7,776582人评价
你的名字。,2016,8.5,1305727人评价
达拉斯买家俱乐部,2013,8.8,427783人评价
惊魂记,1960,9.0,264759人评价
卢旺达饭店,2004,8.9,308233人评价
头号玩家,2018,8.7,1288684人评价
血战钢锯岭,2016,8.7,743895人评价
模仿游戏,2014,8.8,605525人评价
喜宴,1993,9.0,332108人评价
七武士,1954,9.3,183985人评价
花样年华,2000,8.7,560850人评价
头脑特工队,2015,8.8,569300人评价
黑客帝国3：矩阵革命,2003,8.8,422317人评价
九品芝麻官,1994,8.7,618756人评价
电锯惊魂,2004,8.8,496693人评价
三块广告牌,2017,8.7,776582人评价
你的名字。,2016,8.5,1305727人评价
达拉斯买家俱乐部,2013,8.8,427783人评价
惊魂记,1960,9.0,264759人评价
卢旺达饭店,2004,8.9,308233人评价
疯狂原始人,2013,8.7,794796人评价
上帝之城,2002,9.0,285928人评价
谍影重重3,2007,8.8,395295人评价
心迷宫,2014,8.7,483852人评价
英雄本色,1986,8.6,501146人评价
风之谷,1984,8.9,337724人评价
纵横四海,1991,8.8,395046人评价
色，戒,2007,8.6,721056人评价
海街日记,2015,8.8,417176人评价
茶馆,1982(中国大陆),9.5,117408人评价
三块广告牌,2017,8.7,776582人评价
你的名字。,2016,8.5,1305727人评价
达拉斯买家俱乐部,2013,8.8,427783人评价
惊魂记,1960,9.0,264759人评价
卢旺达饭店,2004,8.9,308233人评价
疯狂原始人,2013,8.7,794796人评价
上帝之城,2002,9.0,285928人评价
谍影重重3,2007,8.8,395295人评价
心迷宫,2014,8.7,483852人评价
英雄本色,1986,8.6,501146人评价
风之谷,1984,8.9,337724人评价
纵横四海,1991,8.8,395046人评价
色，戒,2007,8.6,721056人评价
海街日记,2015,8.8,417176人评价
茶馆,1982(中国大陆),9.5,117408人评价
岁月神偷,2010,8.7,552364人评价
记忆碎片,2000,8.7,569845人评价
爱在午夜降临前,2013,8.9,366622人评价
绿里奇迹,1999,8.9,302648人评价
忠犬八公物语,1987,9.2,181643人评价
荒蛮故事,2014,8.8,415528人评价
爆裂鼓手,2014,8.7,547129人评价
小偷家族,2018,8.7,773081人评价
疯狂的石头,2006,8.6,767886人评价
贫民窟的百万富翁,2008,8.6,709993人评价
风之谷,1984,8.9,337724人评价
纵横四海,1991,8.8,395046人评价
色，戒,2007,8.6,721056人评价
海街日记,2015,8.8,417176人评价
茶馆,1982(中国大陆),9.5,117408人评价
岁月神偷,2010,8.7,552364人评价
记忆碎片,2000,8.7,569845人评价
爱在午夜降临前,2013,8.9,366622人评价
绿里奇迹,1999,8.9,302648人评价
忠犬八公物语,1987,9.2,181643人评价
荒蛮故事,2014,8.8,415528人评价
爆裂鼓手,2014,8.7,547129人评价
小偷家族,2018,8.7,773081人评价
疯狂的石头,2006,8.6,767886人评价
贫民窟的百万富翁,2008,8.6,709993人评价
无敌破坏王,2012,8.7,503462人评价
东邪西毒,1994,8.6,545338人评价
雨中曲,1952,9.1,205089人评价
真爱至上,2003,8.6,686434人评价
冰川时代,2002,8.6,578443人评价
恐怖游轮,2009,8.5,795003人评价
你看起来好像很好吃,2010,8.9,314605人评价
2001太空漫游,1968,8.9,295030人评价
黑天鹅,2010,8.6,748866人评价
无间道2,2003,8.7,435894人评价
荒蛮故事,2014,8.8,415528人评价
爆裂鼓手,2014,8.7,547129人评价
小偷家族,2018,8.7,773081人评价
疯狂的石头,2006,8.6,767886人评价
贫民窟的百万富翁,2008,8.6,709993人评价
无敌破坏王,2012,8.7,503462人评价
东邪西毒,1994,8.6,545338人评价
雨中曲,1952,9.1,205089人评价
真爱至上,2003,8.6,686434人评价
冰川时代,2002,8.6,578443人评价
恐怖游轮,2009,8.5,795003人评价
你看起来好像很好吃,2010,8.9,314605人评价
2001太空漫游,1968,8.9,295030人评价
黑天鹅,2010,8.6,748866人评价
无间道2,2003,8.7,435894人评价
魔女宅急便,1989,8.7,429895人评价
牯岭街少年杀人事件,1991,8.9,271286人评价
遗愿清单,2007,8.7,417722人评价
背靠背，脸对脸,1994,9.5,113043人评价
小丑,2019,8.7,945386人评价
雨人,1988,8.7,382564人评价
大佛普拉斯,2017,8.7,417345人评价
恋恋笔记本,2004,8.6,630242人评价
可可西里,2004,8.9,284070人评价
城市之光,1931,9.3,134492人评价
恐怖游轮,2009,8.5,795003人评价
你看起来好像很好吃,2010,8.9,314605人评价
2001太空漫游,1968,8.9,295030人评价
黑天鹅,2010,8.6,748866人评价
无间道2,2003,8.7,435894人评价
魔女宅急便,1989,8.7,429895人评价
牯岭街少年杀人事件,1991,8.9,271286人评价
遗愿清单,2007,8.7,417722人评价
背靠背，脸对脸,1994,9.5,113043人评价
小丑,2019,8.7,945386人评价
雨人,1988,8.7,382564人评价
大佛普拉斯,2017,8.7,417345人评价
恋恋笔记本,2004,8.6,630242人评价
可可西里,2004,8.9,284070人评价
城市之光,1931,9.3,134492人评价
东京教父,2003,9.0,201172人评价
源代码,2011,8.5,790322人评价
萤火虫之墓,1988,8.7,387960人评价
初恋这件小事,2010,8.5,938953人评价
虎口脱险,1966,8.9,238204人评价
人工智能,2001,8.7,417750人评价
海边的曼彻斯特,2016,8.6,480386人评价
心灵奇旅,2020,8.7,900453人评价
罗生门,1950,8.8,294152人评价
青蛇,1993,8.6,491836人评价
雨人,1988,8.7,382564人评价
大佛普拉斯,2017,8.7,417345人评价
恋恋笔记本,2004,8.6,630242人评价
